Country Name,Country Code,percentage_of_GDP,percentage_of_gov,internet,electricity,2022_Secondary_Gross_Enrollment_rate
Africa Eastern and Southern,AFE,3.69766802106406,15.896857713541,30.2,48.801257960765845,45.2816200256348
Africa Western and Central,AFW,2.89168744551701,14.7336452370994,36.9,55.68668296697957,45.6372985839844
Arab World,ARB,,,,90.6545179070033,69.4561386108398
Caribbean small states,CSS,2.67331004142761,10.4055900573731,,98.30642215012972,84.883918762207
Central Europe and the Baltics,CEB,4.316464900970461,10.5161952972412,,100.0,100.121192932129
Early-demographic dividend,EAR,3.58951497077942,14.1554744728238,,95.15757449507436,77.2122268676758
East Asia & Pacific,EAS,2.88738689372749,13.2538001992033,75.4,98.21392948450745,91.2770309448242
East Asia & Pacific (excluding high income),EAP,2.2849015118752503,12.7649008301947,73.8,98.02737208910564,90.1883010864258
East Asia & Pacific (IDA & IBRD countries),TEA,2.2849015118752503,11.6742808441972,74.4,98.56874684443176,90.1412811279297
Euro area,EMU,4.95753502845764,10.8573799133301,,100.0,108.442291259766
Europe & Central Asia,ECS,4.568569898605345,11.7219200134277,88.1,99.99773358445486,103.31950378418
Europe & Central Asia (excluding high income),ECA,3.6675150394439697,13.1722602844238,82.6,99.99159856007114,99.5128402709961
Europe & Central Asia (IDA & IBRD countries),TEC,3.90450382025902,12.0857996940613,85.5,99.995445995711,98.0531005859375
European Union,EUU,4.65508985519409,10.6917295455933,,100.0,107.638740539551
Fragile and conflict affected situations,FCS,,,37.2,57.94587064358723,47.2565994262695
Heavily indebted poor countries (HIPC),HPC,3.0972642678305,14.9914706871899,,48.71712772893844,41.903938293457
High income,HIC,4.65508985519409,11.9818496704102,91.1,99.9798075119101,103.741172790527
IBRD only,IBD,3.59897994995117,14.195792103202647,68.6,98.96872568762802,88.6169586181641
IDA & IBRD total,IBT,3.505653931372605,14.2361097335815,59.1,89.96186145529275,74.3354263305664
IDA blend,IDB,2.72738253259215,15.5095016256821,35.3,77.0721324965067,47.5066413879395
IDA only,IDX,3.08249624893127,13.755706912055452,32.8,60.290135879405945,49.1855697631836
IDA total,IDA,3.06772823003204,14.3321092964105,33.7,66.15690433355576,48.4808082580566
Late-demographic dividend,LTE,4.31372976303101,13.1007251739502,,99.47718818621668,93.5337371826172
Latin America & Caribbean,LCN,3.8472296156442742,16.3748707258125,77.4,98.57887136565888,97.0838012695312
Latin America & Caribbean (excluding high income),LAC,3.83315992355347,16.70292949676515,76.6,98.46260207162167,96.8845901489258
Latin America & the Caribbean (IDA & IBRD countries),TLA,3.81658744264708,15.7813301086426,77.6,98.54487992421708,96.9736022949219
Least developed countries: UN classification,LDC,2.89168744551701,12.94509227298095,30.6,56.738312928479566,47.1495704650879
Low & middle income,LMY,3.447768880598985,14.2361097335815,,90.09326959136573,74.0918502807617
Low income,LIC,2.9797078377745247,14.4758197870089,23.8,43.0060882829376,41.4288291931152
Lower middle income,LMC,3.195622576962335,14.24379188461715,48.5,90.5768405981587,68.8880081176758
"Middle East, North Africa, Afghanistan & Pakistan",MEA,4.30123996734619,13.101506524289,56.2,95.8637945014964,62.4220314025879
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,,,52.3,95.48371437276298,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,3.15300011634827,13.101506524289,52.0,95.45169819354932,
Middle income,MIC,3.505653931372605,14.195792103202647,,94.85821200899062,79.2273635864258
North America,NAC,4.88021993637085,10.6535596847534,92.4,100.0,98.3612213134766
Not classified,INX,,,,,
OECD members,OED,4.991675138473514,11.3262901306152,,100.0,105.27172088623
Other small states,OSS,5.024099826812745,14.3706150054932,,93.9605317818207,73.5171127319336
Pacific island small states,PSS,,,,85.79238850638674,79.3243865966797
Post-demographic dividend,PST,4.991675138473514,11.97954988479615,,100.0,104.075889587402
Pre-demographic dividend,PRE,2.89168744551701,14.7336452370994,,51.14331916934168,44.3046188354492
Small states,SST,4.84085988998413,13.0291900634766,72.3,93.85222364449896,75.5592727661133
South Asia,SAS,3.09202235990416,12.420984705849753,47.3,99.0895114731934,79.9404983520508
South Asia (IDA & IBRD),TSA,3.09202235990416,12.420984705849753,47.3,99.08951147319344,79.9404983520508
Sub-Saharan Africa,SSF,3.0972642678305,15.250486156436,32.9,51.587377584536256,45.4347686767578
Sub-Saharan Africa (excluding high income),SSA,3.08249624893127,14.9914706871899,34.4,51.148993404853734,45.4329109191895
