Country Name,Country Code,internet,electricity
Africa Eastern and Southern,AFE,30.2,48.801257960765845
Africa Western and Central,AFW,36.9,55.68668296697957
Arab World,ARB,,90.6545179070033
Caribbean small states,CSS,,98.30642215012972
Central Europe and the Baltics,CEB,,100.0
Early-demographic dividend,EAR,,95.15757449507436
East Asia & Pacific,EAS,75.4,98.21392948450745
East Asia & Pacific (excluding high income),EAP,73.8,98.02737208910564
East Asia & Pacific (IDA & IBRD countries),TEA,74.4,98.56874684443176
Euro area,EMU,,100.0
Europe & Central Asia,ECS,88.1,99.99773358445486
Europe & Central Asia (excluding high income),ECA,82.6,99.99159856007114
Europe & Central Asia (IDA & IBRD countries),TEC,85.5,99.995445995711
European Union,EUU,,100.0
Fragile and conflict affected situations,FCS,37.2,57.94587064358723
Heavily indebted poor countries (HIPC),HPC,,48.71712772893844
High income,HIC,91.1,99.9798075119101
IBRD only,IBD,68.6,98.96872568762802
IDA & IBRD total,IBT,59.1,89.96186145529275
IDA blend,IDB,35.3,77.0721324965067
IDA only,IDX,32.8,60.290135879405945
IDA total,IDA,33.7,66.15690433355576
Late-demographic dividend,LTE,,99.47718818621668
Latin America & Caribbean,LCN,77.4,98.57887136565888
Latin America & Caribbean (excluding high income),LAC,76.6,98.46260207162167
Latin America & the Caribbean (IDA & IBRD countries),TLA,77.6,98.54487992421708
Least developed countries: UN classification,LDC,30.6,56.738312928479566
Low & middle income,LMY,,90.09326959136573
Low income,LIC,23.8,43.0060882829376
Lower middle income,LMC,48.5,90.5768405981587
"Middle East, North Africa, Afghanistan & Pakistan",MEA,56.2,95.8637945014964
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,52.3,95.48371437276298
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,52.0,95.45169819354932
Middle income,MIC,,94.85821200899062
North America,NAC,92.4,100.0
Not classified,INX,,
OECD members,OED,,100.0
Other small states,OSS,,93.9605317818207
Pacific island small states,PSS,,85.79238850638674
Post-demographic dividend,PST,,100.0
Pre-demographic dividend,PRE,,51.14331916934168
Small states,SST,72.3,93.85222364449896
South Asia,SAS,47.3,99.0895114731934
South Asia (IDA & IBRD),TSA,47.3,99.08951147319344
Sub-Saharan Africa,SSF,32.9,51.587377584536256
Sub-Saharan Africa (excluding high income),SSA,34.4,51.148993404853734
Sub-Saharan Africa (IDA & IBRD countries),TSS,32.9,51.58737758453626
Upper middle income,UMC,76.5,99.5089289382316
World,WLD,63.7,91.28924510432552
Afghanistan,AFG,17.1917,85.3
Albania,ALB,82.6137,100.0
Algeria,DZA,74.8319,100.0
American Samoa,ASM,,
Andorra,AND,94.4855,100.0
