Country,math_pct_adequate_general,math_pct_adequate_high_ses,math_pct_adequate_low_ses,math_pct_adequate_ses_gap,math_pct_adequate_female,math_pct_adequate_male,math_pct_adequate_gender_gap,math_avg_general,math_avg_female,math_avg_male,math_avg_gender_gap,math_avg_high_ses,math_avg_low_ses,math_avg_ses_gap
Albania,9.9,20.9,4.9,16.0,8.2,9.0,-0.8,368,378,359,19,407,356,51
Argentina,8.9,22.2,2.9,19.3,6.7,9.5,-2.8,378,372,383,-11,426,355,71
Australia,50.8,64.0,24.1,39.9,48.3,53.3,-5.0,487,481,493,-12,518,427,91
Austria,52.6,73.4,25.0,48.4,48.5,56.5,-8.0,487,478,497,-19,531,431,100
Autoridade Palestina,4.9,12.5,1.6,10.9,4.5,3.9,0.6,366,373,357,16,402,354,48
Azerbaijan (Baku),16.4,25.5,10.5,15.0,15.1,15.9,-0.8,397,401,394,7,427,381,46
Belgium,53.6,74.8,27.1,47.7,52.7,54.9,-2.2,489,486,493,-7,535,430,105
Brazil,10.0,33.9,3.1,30.8,7.2,11.2,-4.0,379,375,383,-8,447,359,88
Brunei,30.9,52.3,15.2,37.1,31.5,29.3,2.2,442,448,437,11,488,409,79
Bulgaria,25.1,44.1,8.7,35.4,23.4,25.7,-2.3,417,420,415,5,468,373,95
Camboja,2.5,18.3,0.7,17.6,1.5,2.4,-0.9,336,338,334,4,406,332,74
Canada,55.7,67.0,31.5,35.5,53.1,58.2,-5.1,497,491,503,-12,522,444,78
Catar,21.2,34.8,3.1,31.7,19.3,20.9,-1.6,414,418,410,8,449,365,84
Central West (Brazil),9.7,32.4,3.0,29.4,8.9,10.6,-1.7,384,383,385,-2,443,361,82
Chile,18.2,38.5,8.9,29.6,13.0,20.9,-7.9,412,403,420,-17,460,392,68
Chinese Taipei (Taiwan),71.9,88.7,53.5,35.2,73.5,71.4,2.1,547,544,550,-6,603,494,109
Colombia,9.7,31.2,3.4,27.8,7.6,10.2,-2.6,383,378,387,-9,445,364,81
Costa Rica,7.3,0.0,0.0,0.0,4.4,8.2,-3.8,385,377,392,-15,0,0,0
Croatia,40.3,59.5,23.1,36.4,37.2,42.0,-4.8,463,460,466,-6,504,430,74
Cyprus,26.4,0.0,0.0,0.0,0.0,0.0,0.0,418,426,411,15,0,0,0
Czech Republic,51.3,75.1,25.1,50.0,49.5,52.8,-3.3,487,483,491,-8,538,432,106
Denmark,53.4,63.9,26.1,37.8,51.1,55.6,-4.5,489,483,495,-12,509,435,74
Dominican Republic,0.9,2.9,0.1,2.8,0.4,0.9,-0.5,339,341,337,4,374,326,48
El Salvador,1.9,9.1,0.4,8.7,1.1,1.8,-0.7,343,340,347,-7,398,332,66
Estonia,61.7,76.7,40.3,36.4,61.0,63.1,-2.1,510,507,513,-6,540,467,73
Finland,51.4,66.3,27.4,38.9,52.8,50.7,2.1,484,487,482,5,513,438,75
France,46.9,70.2,20.6,49.6,44.4,50.1,-5.7,474,469,479,-10,520,420,100
Georgia,14.0,26.3,5.8,20.5,12.5,13.6,-1.1,390,393,387,6,428,366,62
Germany,46.9,72.4,27.7,44.7,44.5,49.3,-4.8,475,469,480,-11,530,432,98
Greece,26.7,42.9,12.2,30.7,23.5,28.1,-4.6,430,427,433,-6,465,400,65
Guatemala,2.6,11.7,0.3,11.4,1.6,2.3,-0.7,344,338,351,-13,399,331,68
Hong Kong,71.4,83.9,64.6,19.3,71.9,72.0,-0.1,540,536,544,-8,576,520,56
Hungary,46.8,68.6,20.2,48.4,43.1,50.2,-7.1,473,465,480,-15,520,414,106
Iceland,39.7,49.3,19.1,30.2,38.0,40.4,-2.4,459,457,461,-4,479,414,65
