CNT,year,percentOfGdpOnEducation
ALB,2022,20.4
ARE,2022,59.3
AZE,2022,7.6
BLR,2022,11.5
BRA,2022,12.2
BRN,2022,71.8
CAN,2022,40.0
CHN,2022,35.2
CIV,2022,11.0
COL,2022,21.6
DOM,2022,10.9
ECU,2022,10.5
EGY,2022,14.5
GEO,2022,10.6
HKG,2022,33.3
IRQ,2022,2.7
JPN,2022,34.1
KAZ,2022,23.1
KOR,2022,45.4
MEX,2022,27.1
MNE,2022,38.6
MYS,2022,50.4
NER,2022,1.3
PER,2022,18.0
POL,2022,34.2
RUS,2022,13.3
SAU,2022,61.9
SGP,2022,37.1
URY,2022,44.4
UZB,2022,5.8
ALB,2022,6.3
ARE,2022,67.9
AZE,2022,87.8
BLR,2022,33.1
BRA,2022,41.0
CAN,2022,36.0
COL,2022,15.0
DOM,2022,11.9
EGY,2022,41.5
HKG,2022,17.6
IRQ,2022,1.0
KOR,2022,20.3
POL,2022,19.4
RUS,2022,13.1
SAU,2022,71.0
SGP,2022,85.0
URY,2022,57.5
AGO,2022,2.385358984166333
AIA,2022,2.50012405750642
ALB,2022,2.729769945144653
AND,2022,2.647279977798462
ARG,2022,4.792630195617676
ARM,2022,2.491899967193604
ATG,2022,2.503687555523828
AUS,2022,5.059160232543945
AUT,2022,5.277480125427246
AZE,2022,3.046900033950806
BEL,2022,6.277969837188721
BEN,2022,3.097264267830495
BFA,2022,5.294567533042409
BGD,2022,2.085386578062429
BGR,2022,4.501090049743652
BHR,2022,1.711921270940046
BHS,2022,2.623670214061692
BIH,2022,2.970129864265237
BLR,2022,4.628230094909668
BLZ,2022,4.604159832000732
BMU,2022,1.775833388571663
BOL,2022,7.575500011444092
BRA,2022,5.619229793548584
BRB,2022,4.140009880065918
BTN,2022,7.469819802800528
CAF,2022,2.115091294763655
CAN,2022,4.88021993637085
CHE,2022,4.924190044403076
CHL,2022,4.897530078887939
CIV,2022,3.511970043182373
CMR,2022,2.65952378267367
COD,2022,2.844665144630053
COG,2022,2.72738253259215
COK,2022,5.970940113067627
COM,2022,2.431644241109244
CPV,2022,4.725255480072198
CUB,2022,8.440863516692838
CUW,2022,6.081670336058129
CYM,2022,1.488940000534058
CYP,2022,4.735889911651611
CZE,2022,4.302919864654541
DEU,2022,5.239160060882568
DMA,2022,6.043142434065714
DNK,2022,6.355869770050049
DOM,2022,3.610888720702714
DZA,2022,4.749246730006033
ECU,2022,3.598979949951172
ESP,2022,4.585539817810059
EST,2022,5.207339763641357
ETH,2022,3.736495121888292
FIN,2022,6.376039981842041
FJI,2022,3.938395390741944
FRA,2022,5.324359893798828
GAB,2022,2.207736503579309
GEO,2022,3.754980087280273
GHA,2022,2.909638316384515
GIN,2022,2.007223029811844
GMB,2022,2.891687445517012
GRC,2022,3.375479936599731
GRD,2022,4.037672848691613
GTM,2022,3.208230018615723
HKG,2022,3.728660106658936
HND,2022,4.482800308020556
HTI,2022,1.026898122067983
HUN,2022,3.812589883804321
IDN,2022,0.8639433495759075
IND,2022,4.098658141745892
IRN,2022,2.669980049133301
ISL,2022,7.289239883422852
ISR,2022,5.934969902038574
ITA,2022,4.069829940795898
JAM,2022,5.354350090026855
JOR,2022,3.153000116348267
KAZ,2022,4.361853608514047
KEN,2022,4.511018018298153
KGZ,2022,7.168843822440992
KHM,2022,1.957932795764161
KIR,2022,14.78603128205128
KNA,2022,3.557961552685803
KOR,2022,5.814469814300537
KWT,2022,6.582364999888908
LAO,2022,1.460834404340695
LBN,2022,1.331514276287109
LBR,2022,2.276096006870202
LCA,2022,4.642350196838379
LKA,2022,1.203972186611856
LTU,2022,4.25285005569458
LUX,2022,3.705990076065063
LVA,2022,4.319200038909912
MAC,2022,6.057069778442383
MAR,2022,5.912246740612769
MCO,2022,1.171059966087341
MDA,2022,6.11053991317749
MDG,2022,3.067728230032039
MDV,2022,4.67344315449896
MEX,2022,4.065859794616699
MHL,2022,7.70088005065918
MLI,2022,4.045122275292753
MLT,2022,4.71973991394043
MOZ,2022,5.976073420543141
MRT,2022,1.389660000801086
MSR,2022,7.72079592586759
MUS,2022,4.840859889984131
MWI,2022,2.748883711058105
MYS,2022,3.499337819562841
NAM,2022,9.391947084523798
NER,2022,3.71231832079626
NGA,2022,0.3485167078908774
NIC,2022,3.800014961740692
NLD,2022,5.179180145263672
NOR,2022,5.455860137939453
NPL,2022,4.136450816903965
NRU,2022,5.918279716981132
NZL,2022,5.225570201873779
OMN,2022,4.301239967346191
PAK,2022,1.973009457569884
PAN,2022,3.377810001373291
PER,2022,3.833159923553467
PHL,2022,3.57960089528426
PLW,2022,3.576201334155248
PNG,2022,0.6433769207518154
POL,2022,4.313729763031006
PRI,2022,3.861299307735079
PRT,2022,4.551599979400635
PRY,2022,3.396199941635132
ROU,2022,3.278820037841797
RUS,2022,4.054027553237774
RWA,2022,4.746230125427246
SEN,2022,5.987539768218994
SGP,2022,2.488919973373413
SLB,2022,8.487378297311048
SLE,2022,4.911300182342529
SLV,2022,3.256340026855469
SMR,2022,2.897530078887939
SOM,2022,7.2167477543e-06
SRB,2022,3.082550048828125
STP,2022,5.193921017126131
SUR,2022,3.43460841988051
SVK,2022,4.655089855194092
SVN,2022,5.28065013885498
SWE,2022,7.319099903106689
SWZ,2022,5.572741757385112
SXM,2022,4.274205085082849
SYC,2022,3.65858904774836
TCA,2022,3.282619953155518
TCD,2022,2.601611889706404
TGO,2022,3.778110832667751
THA,2022,2.611870227986338
TJK,2022,5.398297705990014
TKM,2022,3.580049991607666
TON,2022,5.310162780466344
TTO,2022,2.673310041427612
TUN,2022,6.804989607392803
TUR,2022,3.095720052719116
TUV,2022,13.76219124801975
TZA,2022,3.238245037576404
UGA,2022,2.561050271769246
URY,2022,4.507329940795898
UZB,2022,5.234771710221517
VCT,2022,7.07575034584772
VGB,2022,2.484019994735718
VNM,2022,2.887386893727493
VUT,2022,10.70334564990629
WSM,2022,6.15978780645853
ZAF,2022,6.155990123748779
ZMB,2022,3.658840920239829
