,CNT,BELONG,BULLIED,LIFESAT,FEELSAFE,STRESAGR,PSYCHSYM,SOCCON,EXPWB,ANXMAT
0,ALB,0.2532919550724197,-0.2231179052883137,,0.21248947889367928,,,,,0.012372711577021377
1,ARE,-0.19998895467237973,-0.14856840037024857,0.21394927287188806,0.08039374772831413,,0.14799787393822747,0.32256933427049816,0.06898590859533857,0.14107152555202898
2,ARG,-0.19670898737799444,-0.014126854505291182,,-0.2077643383102804,,,,,0.5271095379166048
3,AUS,-0.2267015660303458,0.03733388472189236,,-0.116283558640608,-0.06319762746585925,,,,0.17415019230251363
4,AUT,0.4449821736176513,-0.26404823680548034,,0.5951157638090083,0.08230687971812566,,,,0.03434888233457177
5,BEL,0.021855227186313206,-0.2531034012552874,,-0.01981037775200558,-0.031584037117099166,,,,0.20591678163725907
6,BGR,-0.19042332657487956,-0.31427053598241317,,-0.16604471523896494,,,,,0.19642269956014743
7,BRA,-0.20849259900791547,-0.1422153633658887,-0.23273407689389503,-0.4063129623409895,-0.10578101971973554,-0.023738675160223217,-0.12008492457304099,0.20826268782505192,0.5303935633060081
8,BRN,-0.5012569448728339,0.16011399294356196,,-0.2411725008707926,-0.3281437209694144,,,,0.668884790453159
9,CAN,-0.16173455396952116,-0.252108083897597,,0.0979823464016098,-0.08597890016635833,,,,0.15522392890949627
10,CHE,0.35725156538539216,-0.2647809179632195,,0.6105598517486542,0.16609678106232742,,,,-0.11753396457533795
11,CHL,-0.22015998904481343,-0.22680293230420034,,-0.3505581712066405,-0.06760552372080113,,,,0.5902940644475732
12,COL,-0.15690718899033107,-0.2090931640238956,,-0.2682066939550236,,,,,0.5419823464162192
13,CRI,-0.09415390327699796,-0.25354310255330825,,-0.17452453023443415,-0.021424154936206627,0.15052916737160327,-0.20315711380237378,0.16104615818893703,0.5165774026217608
14,CZE,-0.2798947879511478,-0.16584351326693406,,-0.16215357986568907,-0.0716463138287777,,,,0.019904772408261034
15,DEU,0.2698725896476903,-0.20320795587848234,,,0.04991162884063213,,,,0.10112740030775187
16,DNK,0.1091869580895332,-0.04377533789643993,,,0.20494217489904787,,,,-0.11658098333469073
17,DOM,-0.2302724295286979,-0.1011646445337599,,-0.09095831214299373,,,,,0.5088604949560771
18,ESP,0.2725345608613883,-0.3790114504395441,0.01456296834487002,,-0.023139916385569167,-0.033604058279285254,0.06928576294584303,-0.17718818525475977,0.3670982372659034
