Country Name,Percentage of gov. spending on education,Internet Usage (%),2024 GDP per capita,Average IQ,Democracy Index,Obesity rate per 100
Central Europe and the Baltics,28.484848484848484,,73.68421052631578,,,
IDA blend,71.21212121212122,15.053763440860216,16.842105263157894,,,
Least developed countries: UN classification,53.939393939393945,11.827956989247312,12.631578947368421,,,
"Middle East, North Africa, Afghanistan & Pakistan",55.45454545454545,25.806451612903224,42.63157894736842,,,
Post-demographic dividend,40.0,,91.57894736842105,,,
Pre-demographic dividend,65.45454545454545,,13.157894736842104,,,
South Asia,46.06060606060606,22.043010752688172,26.842105263157894,,,
Afghanistan,,3.763440860215054,,,0.6622516556291391,49.700598802395206
Albania,15.757575757575756,58.602150537634415,56.315789473684205,49.549549549549546,60.264900662251655,37.12574850299401
Algeria,55.45454545454545,42.473118279569896,41.05263157894737,46.846846846846844,30.4635761589404,77.84431137724552
American Samoa,,,,,,
Andorra,6.666666666666667,86.82795698924731,87.36842105263159,,,60.47904191616767
Angola,6.0606060606060606,19.35483870967742,20.0,1.8018018018018018,32.450331125827816,22.15568862275449
Antigua and Barbuda,11.515151515151516,47.31182795698925,72.10526315789474,,,95.20958083832335
Argentina,50.303030303030305,73.11827956989248,63.1578947368421,29.72972972972973,69.5364238410596,88.02395209580838
Armenia,18.787878787878785,46.774193548387096,53.68421052631579,95.4954954954955,48.34437086092716,42.51497005988024
Aruba,,,,,,
Australia,49.696969696969695,93.01075268817203,93.6842105263158,94.5945945945946,91.3907284768212,79.64071856287424
Austria,23.03030303030303,84.94623655913979,92.63157894736842,73.87387387387388,88.0794701986755,65.26946107784431
Azerbaijan,35.75757575757576,72.04301075268818,47.368421052631575,62.16216216216216,17.880794701986755,43.712574850299404
"Bahamas, The",25.454545454545453,87.63440860215054,84.21052631578947,,,
Bahrain,9.696969696969697,99.46236559139786,77.89473684210526,26.126126126126124,13.245033112582782,92.21556886227546
Bangladesh,45.45454545454545,18.27956989247312,25.263157894736842,40.54054054054054,54.3046357615894,7.18562874251497
Barbados,50.90909090909091,53.76344086021505,75.26315789473685,,,94.61077844311377
Belarus,42.42424242424242,76.34408602150538,52.10526315789473,88.28828828828829,7.28476821192053,37.72455089820359
Belgium,41.21212121212121,86.02150537634408,92.10526315789474,81.08108108108108,77.48344370860927,41.91616766467065
Belize,83.03030303030303,38.70967741935484,52.63157894736842,,,91.01796407185628
Benin,66.66666666666666,11.29032258064516,16.315789473684212,2.7027027027027026,35.76158940397351,26.94610778443114
Bermuda,,,100.0,,,
Bhutan,93.93939393939394,68.27956989247312,,,47.019867549668874,34.13173652694611
Bolivia,92.12121212121212,34.946236559139784,34.21052631578947,18.01801801801802,37.086092715231786,
Bosnia and Herzegovina,,52.1505376344086,54.736842105263165,54.054054054054056,39.0728476821192,55.08982035928144
Botswana,,54.3010752688172,50.526315789473685,,80.13245033112582,36.52694610778443
Brazil,53.333333333333336,54.83870967741935,56.84210526315789,18.91891891891892,68.87417218543047,69.46107784431138
British Virgin Islands,43.03030303030303,,,,,
Brunei Darussalam,,95.6989247311828,80.52631578947368,,,94.01197604790418
Bulgaria,40.60606060606061,53.2258064516129,66.84210526315789,54.95495495495496,64.90066225165563,63.47305389221557
Burkina Faso,93.33333333333333,2.1505376344086025,7.894736842105263,,21.52317880794702,1.7964071856287425
Burundi,90.9090909090909,0.5376344086021506,0.5263157894736842,,10.596026490066226,5.9880239520958085
Cabo Verde,72.72727272727273,39.784946236559136,39.473684210526315,,78.1456953642384,18.562874251497004
Cambodia,36.36363636363637,30.107526881720432,25.789473684210527,24.324324324324326,25.82781456953642,31.736526946107784
Cameroon,52.121212121212125,18.817204301075268,18.421052631578945,8.558558558558559,14.23841059602649,19.16167664670659
Canada,29.6969696969697,85.48387096774194,90.52631578947368,90.09009009009009,93.37748344370861,66.46706586826348
Cayman Islands,,,,,,
Central African Republic,30.909090909090907,,1.5789473684210527,,2.6490066225165565,28.143712574850298
Chad,79.39393939393939,1.6129032258064515,9.473684210526317,,4.635761589403973,10.778443113772456
Channel Islands,,,,,,
Chile,85.45454545454545,84.40860215053763,66.3157894736842,36.486486486486484,88.74172185430463,95.80838323353294
China,27.878787878787882,45.16129032258064,61.578947368421055,100.0,6.291390728476822,61.67664670658682
Colombia,,40.32258064516129,51.05263157894737,19.81981981981982,67.54966887417218,58.08383233532935
Comoros,27.27272727272727,12.903225806451612,18.947368421052634,,26.490066225165563,17.964071856287426
Democratic Republic of the Congo,,10.75268817204301,3.684210526315789,,3.3112582781456954,19.760479041916167
Republic of the Congo,71.21212121212122,16.129032258064516,24.210526315789473,,16.55629139072848,13.77245508982036
Costa Rica,,57.52688172043011,67.89473684210526,28.82882882882883,90.06622516556291,74.25149700598801
Cote d'Ivoire,75.15151515151514,17.741935483870968,27.89473684210526,,34.437086092715234,
Croatia,,55.91397849462365,73.15789473684211,65.76576576576578,63.576158940397356,48.50299401197605
Cuba,81.21212121212122,35.483870967741936,,38.73873873873874,15.2317880794702,71.25748502994011
Curacao,38.18181818181819,,,,,
Cyprus,47.27272727272727,76.88172043010752,83.15789473684211,58.55855855855856,76.82119205298014,71.8562874251497
Czechia,24.242424242424242,64.51612903225806,78.94736842105263,76.57657657657657,84.43708609271523,27.54491017964072
Denmark,61.212121212121204,94.6236559139785,94.73684210526315,55.85585585585585,96.68874172185431,35.92814371257485
Djibouti,,32.25806451612903,31.57894736842105,,15.894039735099339,13.17365269461078
Dominica,17.575757575757574,60.752688172043015,57.36842105263158,,,83.8323353293413
Dominican Republic,88.48484848484848,55.376344086021504,57.89473684210527,9.90990990990991,59.60264900662252,76.04790419161677
Ecuador,16.969696969696972,36.55913978494624,46.31578947368421,32.432432432432435,49.00662251655629,64.07185628742515
"Egypt, Arab Rep.",,39.247311827956985,30.526315789473685,,,
